DISTRICT,YEAR,TOTAL IPC CRIMES
MUZAFFARPUR RLY.,2005,583
NALANDA,2005,3000
NAUGACHIA,2005,999
NAWADAH,2005,1732
PATNA,2005,11840
PATNA RLY.,2005,950
PURNEA,2005,2169
ROHTAS,2005,3384
SAHARSA,2005,1441
SAMASTIPUR,2005,3452
SARAN,2005,3233
SHEIKHPURA,2005,683
SHEOHAR,2005,493
SITAMARHI,2005,2687
SIWAN,2005,2190
SUPAUL,2005,1224
VAISHALI,2005,3522
ARARIA,2006,2611
ARWAL,2006,562
AURANGABAD,2006,2230
BAGAHA,2006,1156
BANKA,2006,1526
BEGUSARAI,2006,2884
BETTIAH,2006,3058
BHABHUA,2006,1422
BHAGALPUR,2006,3552
BHOJPUR,2006,3143
BUXAR,2006,1663
DARBHANGA,2006,3235
GAYA,2006,3424
GOPALGANJ,2006,2357
JAMALPUR RLY.,2006,168
JAMUI,2006,1556
JEHANABAD,2006,1087
KATIHAR,2006,1757
KATIHAR RLY.,2006,503
KHAGARIA,2006,1712
KISHANGANJ,2006,1086
LAKHISARAI,2006,971
MADHEPURA,2006,1172
MADHUBANI,2006,1196
MOTIHARI,2006,4246
MUNGER,2006,1846
MUZAFFARPUR,2006,5484
MUZAFFARPUR RLY.,2006,709
NALANDA,2006,2973
NAUGACHIA,2006,914
NAWADAH,2006,1566
PATNA,2006,12736
PATNA RLY.,2006,972
PURNEA,2006,2403
ROHTAS,2006,3038
SAHARSA,2006,1787
SAMASTIPUR,2006,3333
SARAN,2006,3526
SHEIKHPURA,2006,590
SHEOHAR,2006,488
SITAMARHI,2006,2548
SIWAN,2006,2438
SUPAUL,2006,1302
VAISHALI,2006,3735
ARARIA,2007,2904
ARWAL,2007,542
AURANGABAD,2007,2485
BAGAHA,2007,1989
BANKA,2007,1908
BEGUSARAI,2007,3197
BETTIAH,2007,2686
BHABHUA,2007,1748
BHAGALPUR,2007,3020
BHOJPUR,2007,3113
BUXAR,2007,1467
DARBHANGA,2007,3388
GAYA,2007,3406
GOPALGANJ,2007,2430
JAMALPUR RLY.,2007,192
